name,type_1,type_2
Bulbasaur,Grass,Poison
Ivysaur,Grass,Poison
Venusaur,Grass,Poison
Mega Venusaur,Grass,Poison
Charmander,Fire,
Charmeleon,Fire,
Charizard,Fire,Flying
Mega Charizard X,Fire,Dragon
Mega Charizard Y,Fire,Flying
Squirtle,Water,
Wartortle,Water,
Blastoise,Water,
Mega Blastoise,Water,
Caterpie,Bug,
Metapod,Bug,
Butterfree,Bug,Flying
Weedle,Bug,Poison
Kakuna,Bug,Poison
Beedrill,Bug,Poison
Mega Beedrill,Bug,Poison
Pidgey,Normal,Flying
Pidgeotto,Normal,Flying
Pidgeot,Normal,Flying
Mega Pidgeot,Normal,Flying
Rattata,Normal,
Alolan Rattata,Dark,Normal
Raticate,Normal,
Alolan Raticate,Dark,Normal
Spearow,Normal,Flying
Fearow,Normal,Flying
Ekans,Poison,
Arbok,Poison,
Pikachu,Electric,
Partner Pikachu,Electric,
Raichu,Electric,
Alolan Raichu,Electric,Psychic
Sandshrew,Ground,
Alolan Sandshrew,Ice,Steel
Sandslash,Ground,
Alolan Sandslash,Ice,Steel
Nidoran♀,Poison,
Nidorina,Poison,
Nidoqueen,Poison,Ground
Nidoran♂,Poison,
Nidorino,Poison,
Nidoking,Poison,Ground
Clefairy,Fairy,
Clefable,Fairy,
Vulpix,Fire,
Alolan Vulpix,Ice,
Ninetales,Fire,
Alolan Ninetales,Ice,Fairy
Jigglypuff,Normal,Fairy
Wigglytuff,Normal,Fairy
Zubat,Poison,Flying
Golbat,Poison,Flying
Oddish,Grass,Poison
Gloom,Grass,Poison
Vileplume,Grass,Poison
Paras,Bug,Grass
Parasect,Bug,Grass
Venonat,Bug,Poison
Venomoth,Bug,Poison
Diglett,Ground,
Alolan Diglett,Ground,Steel
Dugtrio,Ground,
Alolan Dugtrio,Ground,Steel
Meowth,Normal,
Alolan Meowth,Dark,
Galarian Meowth,Steel,
Persian,Normal,
Alolan Persian,Dark,
Psyduck,Water,
Golduck,Water,
Mankey,Fighting,
Primeape,Fighting,
Growlithe,Fire,
Arcanine,Fire,
Poliwag,Water,
Poliwhirl,Water,
Poliwrath,Water,Fighting
Abra,Psychic,
Kadabra,Psychic,
Alakazam,Psychic,
Mega Alakazam,Psychic,
Machop,Fighting,
Machoke,Fighting,
Machamp,Fighting,
Bellsprout,Grass,Poison
Weepinbell,Grass,Poison
Victreebel,Grass,Poison
Tentacool,Water,Poison
Tentacruel,Water,Poison
Geodude,Rock,Ground
Alolan Geodude,Rock,Electric
Graveler,Rock,Ground
Alolan Graveler,Rock,Electric
Golem,Rock,Ground
Alolan Golem,Rock,Electric
Ponyta,Fire,
Galarian Ponyta,Psychic,
Rapidash,Fire,
Galarian Rapidash,Psychic,Fairy
Slowpoke,Water,Psychic
Galarian Slowpoke,Psychic,
Slowbro,Water,Psychic
Mega Slowbro,Water,Psychic
Galarian Slowbro,Poison,Psychic
Magnemite,Electric,Steel
Magneton,Electric,Steel
Farfetch'd,Normal,Flying
Galarian Farfetch'd,Fighting,
Doduo,Normal,Flying
Dodrio,Normal,Flying
Seel,Water,
Dewgong,Water,Ice
Grimer,Poison,
Alolan Grimer,Poison,Dark
Muk,Poison,
Alolan Muk,Poison,Dark
Shellder,Water,
Cloyster,Water,Ice
Gastly,Ghost,Poison
Haunter,Ghost,Poison
Gengar,Ghost,Poison
