index,status,pokedex_number,name,generation,type_1,type_2,height_m,weight_kg,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
0,"Generic",1,"Bulbasaur",1,"Grass","Poison",0.7,6.9,"Overgrow","","Chlorophyll",318,45,49,49,65,65,45,45,50,64,"Medium Slow","Grass","Monster",87.5,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
1,"Generic",2,"Ivysaur",1,"Grass","Poison",1,13,"Overgrow","","Chlorophyll",405,60,62,63,80,80,60,45,50,142,"Medium Slow","Grass","Monster",87.5,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
2,"Generic",3,"Venusaur",1,"Grass","Poison",2,100,"Overgrow","","Chlorophyll",525,80,82,83,100,100,80,45,50,263,"Medium Slow","Grass","Monster",87.5,20,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
3,"Generic",3,"Mega Venusaur",6,"Grass","Poison",2.4,155.5,"Thick Fat","","",625,80,100,123,122,120,80,45,50,313,"Medium Slow","Grass","Monster",87.5,20,1,1,0.5,0.5,0.25,1,0.5,1,1,2,2,1,1,1,1,1,1,0.5
4,"Generic",4,"Charmander",1,"Fire","",0.6,8.5,"Blaze","","Solar Power",309,39,52,43,60,50,65,45,50,62,"Medium Slow","Dragon","Monster",87.5,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
5,"Generic",5,"Charmeleon",1,"Fire","",1.1,19,"Blaze","","Solar Power",405,58,64,58,80,65,80,45,50,142,"Medium Slow","Dragon","Monster",87.5,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
6,"Generic",6,"Charizard",1,"Fire","Flying",1.7,90.5,"Blaze","","Solar Power",534,78,84,78,109,85,100,45,50,267,"Medium Slow","Dragon","Monster",87.5,20,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
7,"Generic",6,"Mega Charizard X",6,"Fire","Dragon",1.7,110.5,"Tough Claws","","",634,78,130,111,130,85,100,45,50,317,"Medium Slow","Dragon","Monster",87.5,20,1,0.25,1,0.5,0.25,1,1,1,2,1,1,0.5,2,1,2,1,0.5,1
8,"Generic",6,"Mega Charizard Y",6,"Fire","Flying",1.7,100.5,"Drought","","",634,78,104,78,159,115,100,45,50,317,"Medium Slow","Dragon","Monster",87.5,20,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5
9,"Generic",7,"Squirtle",1,"Water","",0.5,9,"Torrent","","Rain Dish",314,44,48,65,50,64,43,45,50,63,"Medium Slow","Monster","Water 1",87.5,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
10,"Generic",8,"Wartortle",1,"Water","",1,22.5,"Torrent","","Rain Dish",405,59,63,80,65,80,58,45,50,142,"Medium Slow","Monster","Water 1",87.5,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
11,"Generic",9,"Blastoise",1,"Water","",1.6,85.5,"Torrent","","Rain Dish",530,79,83,100,85,105,78,45,50,265,"Medium Slow","Monster","Water 1",87.5,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
12,"Generic",9,"Mega Blastoise",6,"Water","",1.6,101.1,"Mega Launcher","","",630,79,103,120,135,115,78,45,50,315,"Medium Slow","Monster","Water 1",87.5,20,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
13,"Generic",10,"Caterpie",1,"Bug","",0.3,2.9,"Shield Dust","","Run Away",195,45,30,35,20,20,45,255,50,39,"Medium Fast","Bug","",50,15,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
14,"Generic",11,"Metapod",1,"Bug","",0.7,9.9,"Shed Skin","","",205,50,20,55,25,25,30,120,50,72,"Medium Fast","Bug","",50,15,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
15,"Generic",12,"Butterfree",1,"Bug","Flying",1.1,32,"Compound Eyes","","Tinted Lens",395,60,45,50,90,80,70,45,50,178,"Medium Fast","Bug","",50,15,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
16,"Generic",13,"Weedle",1,"Bug","Poison",0.3,3.2,"Shield Dust","","Run Away",195,40,35,30,20,20,50,255,50,39,"Medium Fast","Bug","",50,15,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
17,"Generic",14,"Kakuna",1,"Bug","Poison",0.6,10,"Shed Skin","","",205,45,25,50,25,25,35,120,50,72,"Medium Fast","Bug","",50,15,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
18,"Generic",15,"Beedrill",1,"Bug","Poison",1,29.5,"Swarm","","Sniper",395,65,90,40,45,80,75,45,50,178,"Medium Fast","Bug","",50,15,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
19,"Generic",15,"Mega Beedrill",6,"Bug","Poison",1.4,40.5,"Adaptability","","",495,65,150,40,15,80,145,45,50,248,"Medium Fast","Bug","",50,15,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
20,"Generic",16,"Pidgey",1,"Normal","Flying",0.3,1.8,"Keen Eye","Tangled Feet","Big Pecks",251,40,45,40,35,35,56,255,50,50,"Medium Slow","Flying","",50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
21,"Generic",17,"Pidgeotto",1,"Normal","Flying",1.1,30,"Keen Eye","Tangled Feet","Big Pecks",349,63,60,55,50,50,71,120,50,122,"Medium Slow","Flying","",50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
22,"Generic",18,"Pidgeot",1,"Normal","Flying",1.5,39.5,"Keen Eye","Tangled Feet","Big Pecks",479,83,80,75,70,70,101,45,50,240,"Medium Slow","Flying","",50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
23,"Generic",18,"Mega Pidgeot",6,"Normal","Flying",2.2,50.5,"No Guard","","",579,83,80,80,135,80,121,45,50,290,"Medium Slow","Flying","",50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
24,"Generic",19,"Rattata",1,"Normal","",0.3,3.5,"Run Away","Guts","Hustle",253,30,56,35,25,35,72,255,50,51,"Medium Fast","Field","",50,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
25,"Generic",19,"Alolan Rattata",7,"Dark","Normal",0.3,3.8,"Gluttony","Hustle","Thick Fat",253,30,56,35,25,35,72,255,50,51,"Medium Fast","Field","",50,15,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2
26,"Generic",20,"Raticate",1,"Normal","",0.7,18.5,"Run Away","Guts","Hustle",413,55,81,60,50,70,97,127,50,145,"Medium Fast","Field","",50,15,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
27,"Generic",20,"Alolan Raticate",7,"Dark","Normal",0.7,25.5,"Gluttony","Hustle","Thick Fat",413,75,71,70,40,80,77,127,50,145,"Medium Fast","Field","",50,15,1,1,1,1,1,1,4,1,1,1,0,2,1,0,1,0.5,1,2
28,"Generic",21,"Spearow",1,"Normal","Flying",0.3,2,"Keen Eye","","Sniper",262,40,60,30,31,31,70,255,50,52,"Medium Fast","Flying","",50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
29,"Generic",22,"Fearow",1,"Normal","Flying",1.2,38,"Keen Eye","","Sniper",442,65,90,65,61,61,100,90,50,155,"Medium Fast","Flying","",50,15,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
30,"Generic",23,"Ekans",1,"Poison","",2,6.9,"Intimidate","Shed Skin","Unnerve",288,35,60,44,40,54,55,255,50,58,"Medium Fast","Dragon","Field",50,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
31,"Generic",24,"Arbok",1,"Poison","",3.5,65,"Intimidate","Shed Skin","Unnerve",448,60,95,69,65,79,80,90,50,157,"Medium Fast","Dragon","Field",50,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
32,"Generic",25,"Pikachu",1,"Electric","",0.4,6,"Static","","Lightning Rod",320,35,55,40,50,50,90,190,50,112,"Medium Fast","Fairy","Field",50,10,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
33,"Generic",25,"Partner Pikachu",7,"Electric","",0.4,6,"","","Lightning Rod",430,45,80,50,75,60,120,190,50,112,"Medium Fast","","",50,10,1,1,1,0,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
34,"Generic",26,"Raichu",1,"Electric","",0.8,30,"Static","","Lightning Rod",485,60,90,55,90,80,110,75,50,243,"Medium Fast","Fairy","Field",50,10,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
35,"Generic",26,"Alolan Raichu",7,"Electric","Psychic",0.7,21,"Surge Surfer","","",485,60,85,50,95,85,110,75,50,243,"Medium Fast","Fairy","Field",50,10,1,1,1,0,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
36,"Generic",27,"Sandshrew",1,"Ground","",0.6,12,"Sand Veil","","Sand Rush",300,50,75,85,20,30,40,255,50,60,"Medium Fast","Field","",50,20,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
37,"Generic",27,"Alolan Sandshrew",7,"Ice","Steel",0.7,40,"Snow Cloak","","Slush Rush",300,50,75,90,10,35,40,255,50,60,"Medium Fast","Field","",50,20,0.5,4,1,1,0.5,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5
38,"Generic",28,"Sandslash",1,"Ground","",1,29.5,"Sand Veil","","Sand Rush",450,75,100,110,45,55,65,90,50,158,"Medium Fast","Field","",50,20,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
39,"Generic",28,"Alolan Sandslash",7,"Ice","Steel",1.2,55,"Snow Cloak","","Slush Rush",450,75,100,120,25,65,65,90,50,158,"Medium Fast","Field","",50,20,0.5,4,1,1,0.5,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5
40,"Generic",29,"Nidoran♀",1,"Poison","",0.4,7,"Poison Point","Rivalry","Hustle",275,55,47,52,40,40,41,235,50,55,"Medium Slow","Field","Monster",0,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
41,"Generic",30,"Nidorina",1,"Poison","",0.8,20,"Poison Point","Rivalry","Hustle",365,70,62,67,55,55,56,120,50,128,"Medium Slow","Undiscovered","",0,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
42,"Generic",31,"Nidoqueen",1,"Poison","Ground",1.3,60,"Poison Point","Rivalry","Sheer Force",505,90,92,87,75,85,76,45,50,253,"Medium Slow","Undiscovered","",0,20,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5
43,"Generic",32,"Nidoran♂",1,"Poison","",0.5,9,"Poison Point","Rivalry","Hustle",273,46,57,40,40,40,50,235,50,55,"Medium Slow","Field","Monster",100,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
44,"Generic",33,"Nidorino",1,"Poison","",0.9,19.5,"Poison Point","Rivalry","Hustle",365,61,72,57,55,55,65,120,50,128,"Medium Slow","Field","Monster",100,20,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
45,"Generic",34,"Nidoking",1,"Poison","Ground",1.4,62,"Poison Point","Rivalry","Sheer Force",505,81,102,77,85,75,85,45,50,253,"Medium Slow","Field","Monster",100,20,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5
46,"Generic",35,"Clefairy",1,"Fairy","",0.6,7.5,"Cute Charm","Magic Guard","Friend Guard",323,70,45,48,60,65,35,150,140,113,"Fast","Fairy","",25,10,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
47,"Generic",36,"Clefable",1,"Fairy","",1.3,40,"Cute Charm","Magic Guard","Unaware",483,95,70,73,95,90,60,25,140,242,"Fast","Fairy","",25,10,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
48,"Generic",37,"Vulpix",1,"Fire","",0.6,9.9,"Flash Fire","","Drought",299,38,41,40,50,65,65,190,50,60,"Medium Fast","Field","",25,20,1,0,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
49,"Generic",37,"Alolan Vulpix",7,"Ice","",0.6,9.9,"Snow Cloak","","Snow Warning",299,38,41,40,50,65,65,190,50,60,"Medium Fast","Field","",25,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
50,"Generic",38,"Ninetales",1,"Fire","",1.1,19.9,"Flash Fire","","Drought",505,73,76,75,81,100,100,75,50,177,"Medium Fast","Field","",25,20,1,0,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
51,"Generic",38,"Alolan Ninetales",7,"Ice","Fairy",1.1,19.9,"Snow Cloak","","Snow Warning",505,73,67,75,81,100,109,75,50,177,"Medium Fast","Field","",25,20,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
52,"Generic",39,"Jigglypuff",1,"Normal","Fairy",0.5,5.5,"Cute Charm","Competitive","Friend Guard",270,115,45,20,45,25,20,170,50,95,"Fast","Fairy","",25,10,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
53,"Generic",40,"Wigglytuff",1,"Normal","Fairy",1,12,"Cute Charm","Competitive","Frisk",435,140,70,45,85,50,45,50,50,218,"Fast","Fairy","",25,10,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
54,"Generic",41,"Zubat",1,"Poison","Flying",0.8,7.5,"Inner Focus","","Infiltrator",245,40,45,35,30,40,55,255,50,49,"Medium Fast","Flying","",50,15,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
